dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1388966400,2014-01-06 00:00:00 +0000 UTC,3150058,,,,278.375,278.375,278.375,994,,,72,8,140,,2,,,,,,,75,500,Rain,light rain,10
1388970000,2014-01-06 01:00:00 +0000 UTC,3150058,,,,278.02,277.04,279.15,993,,,70,9,130,,2,,,,,,,75,803,Clouds,broken clouds,04n
1388973600,2014-01-06 02:00:00 +0000 UTC,3150058,,,,279.22,279.15,279.26,990,,,70,10,130,,2,,,,,,,40,802,Clouds,scattered clouds,03n
1388977200,2014-01-06 03:00:00 +0000 UTC,3150058,,,,280.27,280.15,280.37,989,,,65,12,140,,2,,,,,,,75,803,Clouds,broken clouds,04n
1388980800,2014-01-06 04:00:00 +0000 UTC,3150058,,,,279.15,279.15,279.15,987,,,81,11,140,,2,,,,,,,90,501,Rain,moderate rain,10n
1388984400,2014-01-06 05:00:00 +0000 UTC,3150058,,,,277.81,276.48,279.26,987,,,86,12,140,1.91,,,,,,,,75,501,Rain,moderate rain,10n
1388988000,2014-01-06 06:00:00 +0000 UTC,3150058,,,,277.07,276.48,278.15,985,,,80,13,140,1.78,,,,,,,,75,501,Rain,moderate rain,10n
1388991600,2014-01-06 07:00:00 +0000 UTC,3150058,,,,277.15,277.15,277.15,985,,,86,13,130,,2,,,,,,,75,500,Rain,light rain,10n
1388995200,2014-01-06 08:00:00 +0000 UTC,3150058,,,,276.47,275.93,277.15,986,,,86,11,130,3.56,,,,,,,,75,501,Rain,moderate rain,10d
1388998800,2014-01-06 09:00:00 +0000 UTC,3150058,,,,278.15,278.15,278.15,986,,,86,9,140,,2,,,,,,,75,500,Rain,light rain,10d
1389002400,2014-01-06 10:00:00 +0000 UTC,3150058,,,,279.23,277.59,280.37,986,,,93,6,160,0.64,,,,,,,,75,500,Rain,light rain,10d
1389006000,2014-01-06 11:00:00 +0000 UTC,3150058,,,,280.8,279.82,281.48,987,,,93,6,180,0.25,,,,,,,,75,521,Rain,proximity shower rain,09d
1389009600,2014-01-06 12:00:00 +0000 UTC,3150058,,,,281.13,279.82,282.15,987,,,87,6,180,,2,,,,,,,75,803,Clouds,broken clouds,04d
