,Weather,Health,Correlation,Non-NAN values
0,wind_speed,CQ1,0.32278871749644306,215
1,snow_3h,CQ4,-0.29318917667122985,215
2,snow_3h,CQ8,0.22955306745596543,56
3,temp,CQ7,-0.22037286500757447,215
4,wind_speed,CQ7,0.20936794459011387,215
5,temp,CQ4,0.19475683512994693,215
6,wind_speed,CQ5,0.1876083291359423,215
7,wind_speed,CQ4,0.1820554167787549,215
8,clouds_all,CQ1,0.18163143198929754,215
9,wind_speed,CQ3,0.17748949475669432,215
10,clouds_all,CQ2,0.17405245489222246,215
11,humidity,CQ8,0.17097729706176076,56
12,clouds_all,CQ7,0.1670090341743888,215
13,snow_3h,CQ6,-0.15714363619458446,215
14,clouds_all,CQ3,0.15605539888949677,215
15,snow_3h,CQ5,-0.15133250407358265,215
16,wind_speed,CQ2,0.14812453507401876,215
17,rain_3h,CQ5,-0.14547011267206175,215
18,pressure,CQ7,-0.14090378020164343,215
19,humidity,CQ2,0.13963992420275745,215
20,temp,manual_Triage,-0.12860922057557597,1714
21,temp,Q7,-0.12811309485248498,3578
22,wind_speed,Q4,0.12054308254654636,3578
23,wind_speed,SpO2ReferenceValue,0.11982650337393051,3663
24,rain_3h,CQ6,-0.11534302681839072,215
25,temp,CQ5,0.11445023269785878,215
26,clouds_all,CQ8,-0.10921106643805273,56
27,wind_speed,CQ8,-0.10811579045192099,56
28,temp,question_Triage,-0.1079541534693405,3578
29,wind_speed,CQ6,0.10758553697031968,215
30,pressure,Q4,-0.10262970521725781,3578
31,humidity,CQ5,-0.10197550726111124,215
32,snow_3h,CQ3,-0.10171442863729865,215
33,clouds_all,CQ6,0.10165083285269198,215
34,humidity,CQ7,0.09921179079585422,215
35,wind_speed,Q2,0.09822312549191477,3578
36,rain_3h,CQ8,0.0959530616155838,56
37,rain_3h,CQ1,-0.0954919603390851,215
38,wind_deg,CQ8,-0.09499915955377491,56
39,temp,Q4,-0.09404311893529561,3578
40,pressure,SpO2ReferenceValue,-0.09214581264046587,3663
41,rain_1h,CQ2,0.09205468558428331,215
42,wind_speed,Q1,0.09189891178861362,3578
43,pressure,CQ5,0.09042841152217085,215
44,pressure,Q5,0.08743836831327981,3578
45,temp,CQ8,-0.08682380809951942,56
46,rain_3h,manual_Triage,0.08439216949948337,1714
47,humidity,CQ3,0.08158969921693515,215
48,humidity,Pulse,-0.08006987392213055,3402
49,humidity,CQ4,-0.07991724418434697,215
50,temp,SpO2ReferenceValue,-0.07959666666523103,3663
51,wind_deg,PulseReferenceValue,-0.07952223205990705,3663
52,wind_speed,pulse_Triage,0.07551452559085553,2968
53,wind_speed,Pulse,0.07131553562927363,3402
54,snow_3h,SpO2ReferenceValue,-0.0672051799651458,3663
55,rain_1h,CQ3,0.0667847431911491,215
56,pressure,PulseReferenceValue,0.06647723676422589,3663
57,wind_speed,question_Triage,0.06522230451967323,3578
58,temp,CQ6,0.06480541110356207,215
59,humidity,CQ1,0.06391820688800667,215
60,rain_1h,CQ8,-0.06260538203344516,56
61,snow_3h,CQ1,-0.06190194592615311,215
62,rain_3h,CQ7,-0.06133590944580697,215
63,wind_deg,CQ3,-0.06104908379364896,215
64,clouds_all,CQ4,0.0604819218844412,215
65,wind_speed,Q3,0.05943450126881899,3578
66,pressure,CQ6,0.05937358108102981,215
67,temp,PulseReferenceValue,0.057441918172886866,3663
68,wind_deg,Pulse,-0.05711161091583371,3402
69,snow_3h,manual_Triage,0.05697545181167475,1714
70,pressure,Q2,-0.05671279911717677,3578
71,humidity,PulseReferenceValue,-0.05630415004940923,3663
72,humidity,manual_Triage,0.054559803563273265,1714
73,clouds_all,manual_Triage,0.05420346441935197,1714
74,wind_speed,Q5,-0.05396371086282224,3578
75,clouds_all,question_Triage,0.051767294963197014,3578
76,clouds_all,Q4,0.05126610082867052,3578
77,wind_deg,SpO2ReferenceValue,-0.05120082084858335,3663
78,wind_deg,Q2,-0.05066647672983871,3578
