day_local,temp_daily_min,temp_daily_max,pressure_min,pressure_max,clouds_min,clouds_max
2013-01-01,3.930999999999983,8.0,981.0,995.0,75.0,90.0
2013-01-02,1.0,7.680000000000007,985.0,1009.0,40.0,83.0
2013-01-03,-1.0,6.600000000000023,1001.0,1021.0,20.0,80.0
2013-01-04,5.689999999999998,8.050000000000011,1005.0,1028.0,40.0,81.0
2013-01-05,5.84050000000002,8.170000000000016,1018.0,1040.0,40.0,92.0
2013-01-06,6.0,8.0,1023.0,1032.0,75.0,90.0
2013-01-07,3.7000000000000455,7.3799999999999955,1021.0,1030.0,75.0,91.0
2013-01-08,3.042500000000018,7.2900000000000205,1017.0,1027.0,37.0,91.0
2013-01-09,3.0,7.350000000000023,1016.0,1022.0,40.0,91.0
2013-01-10,-4.8846666666666465,6.8799999999999955,1013.0,1031.0,1.0,97.0
2013-01-11,-4.367999999999995,5.8700000000000045,1012.0,1026.0,0.0,90.0
2013-01-12,-8.677999999999997,4.020000000000039,1018.0,1030.0,0.0,20.0
2013-01-13,-11.339999999999975,0.3100000000000023,1023.0,1031.0,0.0,0.0
2013-01-14,-11.237999999999943,0.17000000000001592,1022.0,1030.0,0.0,40.0
2013-01-15,-7.709499999999991,0.0,1014.0,1023.0,0.0,75.0
2013-01-16,-7.0,-0.18999999999999773,1013.0,1014.0,0.0,75.0
2013-01-17,-8.0,-0.6699999999999591,1013.0,1019.0,0.0,75.0
2013-01-18,-5.963999999999999,-0.8499999999999659,1020.0,1028.0,0.0,75.0
2013-01-19,-5.0,0.0,1013.0,1022.0,0.0,75.0
2013-01-20,-9.5,-1.1999999999999886,1012.0,1028.0,0.0,40.0
2013-01-21,-12.0,2.180000000000007,1009.0,1019.0,0.0,0.0
2013-01-22,-6.0,-0.22999999999996135,1013.0,1033.0,0.0,1.0
2013-01-23,-11.513333333333321,-2.0,1017.0,1034.0,0.0,42.0
2013-01-24,-13.02049999999997,-0.7599999999999909,1015.0,1025.0,0.0,12.0
2013-01-25,-13.0,0.5900000000000318,1017.0,1026.0,0.0,75.0
2013-01-26,-7.21999999999997,1.670000000000016,1010.0,1020.0,0.0,92.0
